zip,source,json,mode,document_id,serie
z090021983400026052eb2d8__d6d1561494f0cc0d.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052eb2d8__d6d1561494f0cc0d\ad090021983400026052eb2d8.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79145161.json,XML,DEFL79145161,DEFL
z090021983400026052ef573__977a5b3376a23d7e.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052ef573__977a5b3376a23d7e\ad090021983400026052ef573.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79162435.json,XML,DEFL79162435,DEFL
z090021983400026052f05c0__45e9e90b8ede6cad.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052f05c0__45e9e90b8ede6cad\ad090021983400026052f05c0.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79166192.json,XML,DEFL79166192,DEFL
z090021983400026052f665c__7288430ac2b2dba8.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052f665c__7288430ac2b2dba8\ad090021983400026052f665c.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79191018.json,XML,DEFL79191018,DEFL
z090021983400026052fd592__764ba25ac61ce436.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052fd592__764ba25ac61ce436\ad090021983400026052fd592.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79219388.json,XML,DEFL79219388,DEFL
z090021983400026052fdceb__1f69bd7b5d91227e.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052fdceb__1f69bd7b5d91227e\ad090021983400026052fdceb.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79221495.json,XML,DEFL79221495,DEFL
z090021983400026052ffe74__79e705202142f6cd.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026052ffe74__79e705202142f6cd\ad090021983400026052ffe74.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79229982.json,XML,DEFL79229982,DEFL
z09002198340002605301511__253e26f6e105c5e0.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605301511__253e26f6e105c5e0\ad09002198340002605301511.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79235378.json,XML,DEFL79235378,DEFL
z09002198340002605302a86__0a307d0773722631.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605302a86__0a307d0773722631\ad09002198340002605302a86.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79240739.json,XML,DEFL79240739,DEFL
z090021983400026053068e7__74528783c8cef739.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026053068e7__74528783c8cef739\ad090021983400026053068e7.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79256907.json,XML,DEFL79256907,DEFL
z0900219834000260530b159__78091ce536bfbafa.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260530b159__78091ce536bfbafa\ad0900219834000260530b159.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79275306.json,XML,DEFL79275306,DEFL
z0900219834000260530b6db__b03a1003b6541d72.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260530b6db__b03a1003b6541d72\ad0900219834000260530b6db.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79276285.json,XML,DEFL79276285,DEFL
z0900219834000260530da5e__1e68067b7d907098.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260530da5e__1e68067b7d907098\ad0900219834000260530da5e.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79285582.json,XML,DEFL79285582,DEFL
z09002198340002605318d3d__452f6a9925550f42.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605318d3d__452f6a9925550f42\ad09002198340002605318d3d.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79331689.json,XML,DEFL79331689,DEFL
z0900219834000260531ab2a__a0a8e513691a0b85.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260531ab2a__a0a8e513691a0b85\ad0900219834000260531ab2a.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79339540.json,XML,DEFL79339540,DEFL
z0900219834000260531e162__7f712e26ae530dca.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260531e162__7f712e26ae530dca\ad0900219834000260531e162.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79352682.json,XML,DEFL79352682,DEFL
z09002198340002605320a92__477c027e1fd1a0ee.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605320a92__477c027e1fd1a0ee\ad09002198340002605320a92.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79363936.json,XML,DEFL79363936,DEFL
z0900219834000260532505e__a004b0c2796aeba9.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260532505e__a004b0c2796aeba9\ad0900219834000260532505e.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79380784.json,XML,DEFL79380784,DEFL
z0900219834000260533225a__61a76fb9d06e89de.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260533225a__61a76fb9d06e89de\ad0900219834000260533225a.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79434879.json,XML,DEFL79434879,DEFL
z090021983400026053324eb__69336e9bcd258a75.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z090021983400026053324eb__69336e9bcd258a75\ad090021983400026053324eb.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79435278.json,XML,DEFL79435278,DEFL
z09002198340002605343c05__34480094c6a09765.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605343c05__34480094c6a09765\ad09002198340002605343c05.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79507679.json,XML,DEFL79507679,DEFL
z0900219834000260534a545__5f85cd119f02410a.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260534a545__5f85cd119f02410a\ad0900219834000260534a545.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79534687.json,XML,DEFL79534687,DEFL
z0900219834000260535d6f5__b549d9c19b683c3b.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260535d6f5__b549d9c19b683c3b\ad0900219834000260535d6f5.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79613215.json,XML,DEFL79613215,DEFL
z0900219834000260536cdf8__f73df07369415c4b.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260536cdf8__f73df07369415c4b\ad0900219834000260536cdf8.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79677976.json,XML,DEFL79677976,DEFL
z0900219834000260536cea0__8beef8bcbed43a71.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260536cea0__8beef8bcbed43a71\ad0900219834000260536cea0.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79678089.json,XML,DEFL79678089,DEFL
z0900219834000260536ea73__62f57aafb5c3de75.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260536ea73__62f57aafb5c3de75\ad0900219834000260536ea73.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79685106.json,XML,DEFL79685106,DEFL
z0900219834000260536f4ff__c822f40bd8a79863.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260536f4ff__c822f40bd8a79863\ad0900219834000260536f4ff.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79687764.json,XML,DEFL79687764,DEFL
z09002198340002605371172__f08ec84994305e11.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605371172__f08ec84994305e11\ad09002198340002605371172.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79694553.json,XML,DEFL79694553,DEFL
z09002198340002605371ca5__8775a82049410616.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605371ca5__8775a82049410616\ad09002198340002605371ca5.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79697859.json,XML,DEFL79697859,DEFL
z09002198340002605372367__b22d6add4e43dd94.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605372367__b22d6add4e43dd94\ad09002198340002605372367.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79699759.json,XML,DEFL79699759,DEFL
z09002198340002605372af7__e9d2ccaab1f501a1.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605372af7__e9d2ccaab1f501a1\ad09002198340002605372af7.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79701388.json,XML,DEFL79701388,DEFL
z09002198340002605374597__d0c10178b74809b1.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605374597__d0c10178b74809b1\ad09002198340002605374597.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79708328.json,XML,DEFL79708328,DEFL
z09002198340002605375084__bf427d340ae6eb04.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z09002198340002605375084__bf427d340ae6eb04\ad09002198340002605375084.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79711281.json,XML,DEFL79711281,DEFL
z0900219834000260537a637__f92a7d51372add68.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260537a637__f92a7d51372add68\ad0900219834000260537a637.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79732462.json,XML,DEFL79732462,DEFL
z0900219834000260537b615__5a2a22d78b614c25.zip,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\extract\z0900219834000260537b615__5a2a22d78b614c25\ad0900219834000260537b615.xml,C:\Users\Rentan\Desktop\RPA_RENTAN_SAFIX\output\json\DEFL79736665.json,XML,DEFL79736665,DEFL
